"SiteSubsitePlotYear","SiteSubsitePlot","SR"
"ABISKO:ABISKODRY_PADDUS:CTL_5:2014","ABISKO:ABISKODRY_PADDUS:CTL_5",14
"ABISKO:ABISKODRY_PADDUS:CTL_5:2014","ABISKO:ABISKODRY_PADDUS:CTL_5",14
"ABISKO:ABISKODRY_PADDUS:CTL_5:2014","ABISKO:ABISKODRY_PADDUS:CTL_5",14
"ABISKO:ABISKODRY_PADDUS:CTL_5:2014","ABISKO:ABISKODRY_PADDUS:CTL_5",14
"ABISKO:ABISKODRY_PADDUS:CTL_6:2008","ABISKO:ABISKODRY_PADDUS:CTL_6",7
"ABISKO:ABISKODRY_PADDUS:CTL_6:2008","ABISKO:ABISKODRY_PADDUS:CTL_6",7
"ABISKO:ABISKODRY_PADDUS:CTL_6:2008","ABISKO:ABISKODRY_PADDUS:CTL_6",7
"ABISKO:ABISKODRY_PADDUS:CTL_6:2008","ABISKO:ABISKODRY_PADDUS:CTL_6",7
"ABISKO:ABISKODRY_PADDUS:CTL_6:2008","ABISKO:ABISKODRY_PADDUS:CTL_6",7
"ABISKO:ABISKODRY_PADDUS:CTL_6:2008","ABISKO:ABISKODRY_PADDUS:CTL_6",7
"ABISKO:ABISKODRY_PADDUS:CTL_6:2008","ABISKO:ABISKODRY_PADDUS:CTL_6",7
"ABISKO:ABISKODRY_PADDUS:CTL_6:2014","ABISKO:ABISKODRY_PADDUS:CTL_6",11
"ABISKO:ABISKODRY_PADDUS:CTL_6:2014","ABISKO:ABISKODRY_PADDUS:CTL_6",11
"ABISKO:ABISKODRY_PADDUS:CTL_6:2014","ABISKO:ABISKODRY_PADDUS:CTL_6",11
"ABISKO:ABISKODRY_PADDUS:CTL_6:2014","ABISKO:ABISKODRY_PADDUS:CTL_6",11
"ABISKO:ABISKODRY_PADDUS:CTL_6:2014","ABISKO:ABISKODRY_PADDUS:CTL_6",11
"ABISKO:ABISKODRY_PADDUS:CTL_6:2014","ABISKO:ABISKODRY_PADDUS:CTL_6",11
"ABISKO:ABISKODRY_PADDUS:CTL_6:2014","ABISKO:ABISKODRY_PADDUS:CTL_6",11
"ABISKO:ABISKODRY_PADDUS:CTL_6:2014","ABISKO:ABISKODRY_PADDUS:CTL_6",11
"ABISKO:ABISKODRY_PADDUS:CTL_6:2014","ABISKO:ABISKODRY_PADDUS:CTL_6",11
"ABISKO:ABISKODRY_PADDUS:CTL_6:2014","ABISKO:ABISKODRY_PADDUS:CTL_6",11
"ABISKO:ABISKODRY_PADDUS:CTL_6:2014","ABISKO:ABISKODRY_PADDUS:CTL_6",11
"ABISKO:ABISKOWET_FLUX:1_CTL:2006","ABISKO:ABISKOWET_FLUX:1_CTL",10
"ABISKO:ABISKOWET_FLUX:1_CTL:2006","ABISKO:ABISKOWET_FLUX:1_CTL",10
"ABISKO:ABISKOWET_FLUX:1_CTL:2006","ABISKO:ABISKOWET_FLUX:1_CTL",10
"ABISKO:ABISKOWET_FLUX:1_CTL:2006","ABISKO:ABISKOWET_FLUX:1_CTL",10
"ABISKO:ABISKOWET_FLUX:1_CTL:2006","ABISKO:ABISKOWET_FLUX:1_CTL",10
"ABISKO:ABISKOWET_FLUX:1_CTL:2006","ABISKO:ABISKOWET_FLUX:1_CTL",10
"ABISKO:ABISKOWET_FLUX:1_CTL:2006","ABISKO:ABISKOWET_FLUX:1_CTL",10
"ABISKO:ABISKOWET_FLUX:1_CTL:2006","ABISKO:ABISKOWET_FLUX:1_CTL",10
"ABISKO:ABISKOWET_FLUX:1_CTL:2006","ABISKO:ABISKOWET_FLUX:1_CTL",10
"ABISKO:ABISKOWET_FLUX:1_CTL:2006","ABISKO:ABISKOWET_FLUX:1_CTL",10
"ABISKO:ABISKOWET_FLUX:1_CTL:2007","ABISKO:ABISKOWET_FLUX:1_CTL",12
"ABISKO:ABISKOWET_FLUX:1_CTL:2007","ABISKO:ABISKOWET_FLUX:1_CTL",12
"ABISKO:ABISKOWET_FLUX:1_CTL:2007","ABISKO:ABISKOWET_FLUX:1_CTL",12
"ABISKO:ABISKOWET_FLUX:1_CTL:2007","ABISKO:ABISKOWET_FLUX:1_CTL",12
"ABISKO:ABISKOWET_FLUX:1_CTL:2007","ABISKO:ABISKOWET_FLUX:1_CTL",12
"ABISKO:ABISKOWET_FLUX:1_CTL:2007","ABISKO:ABISKOWET_FLUX:1_CTL",12
"ABISKO:ABISKOWET_FLUX:1_CTL:2007","ABISKO:ABISKOWET_FLUX:1_CTL",12
"ABISKO:ABISKOWET_FLUX:1_CTL:2007","ABISKO:ABISKOWET_FLUX:1_CTL",12
"ABISKO:ABISKOWET_FLUX:1_CTL:2007","ABISKO:ABISKOWET_FLUX:1_CTL",12
"ABISKO:ABISKOWET_FLUX:1_CTL:2007","ABISKO:ABISKOWET_FLUX:1_CTL",12
"ABISKO:ABISKOWET_FLUX:1_CTL:2007","ABISKO:ABISKOWET_FLUX:1_CTL",12
"ABISKO:ABISKOWET_FLUX:1_CTL:2007","ABISKO:ABISKOWET_FLUX:1_CTL",12
"ABISKO:ABISKOWET_FLUX:1_CTL:2010","ABISKO:ABISKOWET_FLUX:1_CTL",9
"ABISKO:ABISKOWET_FLUX:1_CTL:2010","ABISKO:ABISKOWET_FLUX:1_CTL",9
"ABISKO:ABISKOWET_FLUX:1_CTL:2010","ABISKO:ABISKOWET_FLUX:1_CTL",9
"ABISKO:ABISKOWET_FLUX:1_CTL:2010","ABISKO:ABISKOWET_FLUX:1_CTL",9
"ABISKO:ABISKOWET_FLUX:1_CTL:2010","ABISKO:ABISKOWET_FLUX:1_CTL",9
"ABISKO:ABISKOWET_FLUX:1_CTL:2010","ABISKO:ABISKOWET_FLUX:1_CTL",9
"ABISKO:ABISKOWET_FLUX:1_CTL:2010","ABISKO:ABISKOWET_FLUX:1_CTL",9
"ABISKO:ABISKOWET_FLUX:1_CTL:2010","ABISKO:ABISKOWET_FLUX:1_CTL",9
"ABISKO:ABISKOWET_FLUX:1_CTL:2010","ABISKO:ABISKOWET_FLUX:1_CTL",9
"ABISKO:ABISKOWET_FLUX:1_CTL:2012","ABISKO:ABISKOWET_FLUX:1_CTL",9
"ABISKO:ABISKOWET_FLUX:1_CTL:2012","ABISKO:ABISKOWET_FLUX:1_CTL",9
"ABISKO:ABISKOWET_FLUX:1_CTL:2012","ABISKO:ABISKOWET_FLUX:1_CTL",9
"ABISKO:ABISKOWET_FLUX:1_CTL:2012","ABISKO:ABISKOWET_FLUX:1_CTL",9
"ABISKO:ABISKOWET_FLUX:1_CTL:2012","ABISKO:ABISKOWET_FLUX:1_CTL",9
"ABISKO:ABISKOWET_FLUX:1_CTL:2012","ABISKO:ABISKOWET_FLUX:1_CTL",9
"ABISKO:ABISKOWET_FLUX:1_CTL:2012","ABISKO:ABISKOWET_FLUX:1_CTL",9
"ABISKO:ABISKOWET_FLUX:1_CTL:2012","ABISKO:ABISKOWET_FLUX:1_CTL",9
"ABISKO:ABISKOWET_FLUX:1_CTL:2012","ABISKO:ABISKOWET_FLUX:1_CTL",9
"ABISKO:ABISKOWET_FLUX:2_CTL:2006","ABISKO:ABISKOWET_FLUX:2_CTL",9
"ABISKO:ABISKOWET_FLUX:2_CTL:2006","ABISKO:ABISKOWET_FLUX:2_CTL",9
"ABISKO:ABISKOWET_FLUX:2_CTL:2006","ABISKO:ABISKOWET_FLUX:2_CTL",9
