"","Taxon","Genus","Hybrid.marker","Species","Abbrev","Infraspecific.rank","Infraspecific","Authority","ID","Plant.Name.Index","TPL.version","Taxonomic.status","Family","New.Genus","New.Hybrid.marker","New.Species","New.Infraspecific.rank","New.Infraspecific","New.Authority","New.ID","New.Taxonomic.status","Typo","WFormat","Higher.level","Date"
"118","Comarum palustre","Comarum","","palustre",NA,NA,"","","rjp-1293",TRUE,"1.1","Accepted","Rosaceae","Comarum","","palustre","","","L.","rjp-1293","Accepted",FALSE,FALSE,FALSE,2022-02-28
"119","Corallorhiza trifida","Corallorhiza","","trifida",NA,NA,"","","kew-47090",TRUE,"1.1","Accepted","Orchidaceae","Corallorhiza","","trifida","","","Châtel.","kew-47090","Accepted",FALSE,FALSE,FALSE,2022-02-28
"120","Cornus alba","Cornus","","alba",NA,NA,"","","kew-47268",TRUE,"1.1","Accepted","Cornaceae","Cornus","","alba","","","L.","kew-47268","Accepted",FALSE,FALSE,FALSE,2022-02-28
"121","Cornus canadensis","Cornus","","canadensis",NA,NA,"","","kew-47300",TRUE,"1.1","Accepted","Cornaceae","Cornus","","canadensis","","","L.","kew-47300","Accepted",FALSE,FALSE,FALSE,2022-02-28
"122","Cornus NA","Cornus","","na",NA,NA,"","","kew-47432",TRUE,"1.1","Accepted","Cornaceae","Cornus","","mas","","","L.","kew-47432","Accepted",TRUE,FALSE,FALSE,2022-02-28
"123","Cornus suecica","Cornus","","suecica",NA,NA,"","","kew-47524",TRUE,"1.1","Accepted","Cornaceae","Cornus","","suecica","","","L.","kew-47524","Accepted",FALSE,FALSE,FALSE,2022-02-28
"124","Corydalis magadanica","Corydalis","","magadanica",NA,NA,"","","kew-2738965",TRUE,"1.1","Accepted","Papaveraceae","Corydalis","","magadanica","","","A.P.Khokhr.","kew-2738965","Accepted",FALSE,FALSE,FALSE,2022-02-28
"125","Crepis leontodontoides","Crepis","","leontodontoides",NA,NA,"","","gcc-110489",TRUE,"1.1","Accepted","Compositae","Crepis","","leontodontoides","","","All.","gcc-110489","Accepted",FALSE,FALSE,FALSE,2022-02-28
"126","Crepis paludosa","Crepis","","paludosa",NA,NA,"","","gcc-90103",TRUE,"1.1","Accepted","Compositae","Crepis","","paludosa","","","(L.) Moench","gcc-90103","Accepted",FALSE,FALSE,FALSE,2022-02-28
"127","Crepis sibirica","Crepis","","sibirica",NA,NA,"","","gcc-38811",TRUE,"1.1","Accepted","Compositae","Crepis","","sibirica","","","L.","gcc-38811","Accepted",FALSE,FALSE,FALSE,2022-02-28
"128","Cypripedium guttatum","Cypripedium","","guttatum",NA,NA,"","","kew-54110",TRUE,"1.1","Accepted","Orchidaceae","Cypripedium","","guttatum","","","Sw.","kew-54110","Accepted",FALSE,FALSE,FALSE,2022-02-28
"129","Dactylis glomerata","Dactylis","","glomerata",NA,NA,"","","kew-406640",TRUE,"1.1","Accepted","Poaceae","Dactylis","","glomerata","","","L.","kew-406640","Accepted",FALSE,FALSE,FALSE,2022-02-28
"130","Dactylorhiza fuchsii","Dactylorhiza","","fuchsii",NA,NA,"","","kew-55291",TRUE,"1.1","Accepted","Orchidaceae","Dactylorhiza","","fuchsii","","","(Druce) Soó","kew-55291","Accepted",FALSE,FALSE,FALSE,2022-02-28
"131","Dactylorhiza traunsteineri","Dactylorhiza","","traunsteineri",NA,NA,"","","kew-55609",TRUE,"1.1","Accepted","Orchidaceae","Dactylorhiza","","traunsteineri","","","(Saut. ex Rchb.) Soó","kew-55609","Accepted",FALSE,FALSE,FALSE,2022-02-28
"132","Dactylorhiza viridis","Dactylorhiza","","viridis",NA,NA,"","","kew-55635",TRUE,"1.1","Accepted","Orchidaceae","Dactylorhiza","","viridis","","","(L.) R.M.Bateman, Pridgeon & M.W.Chase","kew-55635","Accepted",FALSE,FALSE,FALSE,2022-02-28
"133","Dasiphora fruticosa","Dasiphora","","fruticosa",NA,NA,"","","rjp-3465",TRUE,"1.1","Unresolved","Rosaceae","Dasiphora","","fruticosa","","","auct.","rjp-3465","Unresolved",FALSE,FALSE,FALSE,2022-02-28
"134","Delphinium elatum","Delphinium","","elatum",NA,NA,"","","kew-2759714",TRUE,"1.1","Accepted","Ranunculaceae","Delphinium","","elatum","","","L.","kew-2759714","Accepted",FALSE,FALSE,FALSE,2022-02-28
"135","Deschampsia cespitosa","Deschampsia","","cespitosa",NA,NA,"","","kew-407579",TRUE,"1.1","Accepted","Poaceae","Deschampsia","","cespitosa","","","(L.) P.Beauv.","kew-407579","Accepted",FALSE,FALSE,FALSE,2022-02-28
"136","Deschampsia flexuosa","Deschampsia","","flexuosa",NA,NA,"","","kew-407693",TRUE,"1.1","Accepted","Poaceae","Deschampsia","","flexuosa","","","(L.) Trin.","kew-407693","Accepted",FALSE,FALSE,FALSE,2022-02-28
"137","Dianthus deltoides","Dianthus","","deltoides",NA,NA,"","","kew-2764144",TRUE,"1.1","Accepted","Caryophyllaceae","Dianthus","","deltoides","","","L.","kew-2764144","Accepted",FALSE,FALSE,FALSE,2022-02-28
