"X","nbsp","sing.sp","FRic","qual.FRic","FEve","FDis","RaoQ","Warning","Error"
1828,4,4,7.38791883812115,1,0.387798405950451,2.04997528582538,5.49091844116281,NA,NA
1829,5,5,10.1489136169115,0.892591624429371,0.583750012802255,2.58008754701855,7.09232531070796,NA,NA
1830,6,6,13.5257338008604,0.871929964884645,0.417192304982357,2.43732498003854,6.09864392418488,NA,NA
1831,7,7,17.2954746345479,0.852823777109459,0.706663170622383,2.94665775778192,8.98456377952571,NA,NA
1832,6,6,12.2002910920808,0.872568552754135,0.566400229263962,2.40952217843271,6.28120323417355,NA,NA
1833,7,7,15.2880404350459,0.803153705521651,0.489341019261292,2.50320740409298,6.61161704198401,NA,NA
1834,6,6,13.84970121898,0.88329186868262,0.632048939611643,2.73925691221495,7.92165889223457,NA,NA
1835,7,7,17.2954746345479,0.852823777109459,0.744335132861048,2.94766618872205,8.84737854297893,NA,NA
1836,5,5,9.47522095320682,0.9357001390225,0.700533807462675,2.85638999567917,8.22535355970756,NA,NA
1837,7,7,14.7060973044826,0.900709079709195,0.637609695634522,3.0178387718096,9.47856424733422,NA,NA
1838,7,7,14.7060973044825,0.900709079709195,0.763052056764059,2.84555038697462,8.65956004214422,NA,NA
1839,5,5,9.42201448106096,0.986363016443003,0.726581256524872,2.7409828840752,7.75274484363485,NA,NA
1840,6,6,14.6421152294277,0.926179756324868,0.497427458453759,2.16164017655352,5.37088549944878,NA,NA
1841,13,13,35.0624737917753,0.779015611414497,0.439980898430567,2.2557362062497,6.28291087300758,NA,NA
1842,6,6,17.9056707228259,0.934302740599859,0.487797502380911,2.58786716685906,7.50899474975695,NA,NA
1843,11,11,27.2692577831554,0.860573194086518,0.647853908855463,2.86109988816677,8.91916361997636,NA,NA
1844,8,8,19.2625580614496,0.853528130048708,0.76726256447319,2.26362064453048,6.20300144543103,NA,NA
1845,3,3,NA,NA,0.247047303155711,1.10766814520579,2.63099769144505,NA,NA
1846,4,4,3.96865744281571,1,0.636834211135017,1.72303736182034,4.3592258901432,NA,NA
1847,5,5,9.97257771296122,0.927919485973252,0.787594305651952,2.02744710063691,4.72790334341467,NA,NA
1848,9,9,23.0293582709727,0.847688104223223,0.508486019534614,2.73388836433719,7.72801739277149,NA,NA
1849,4,4,7.77281548643965,1,0.71153295921789,2.26775548376643,5.98387982690753,NA,NA
1850,5,5,8.77072387768429,0.954566324306609,0.875344884531528,2.5412338123335,6.79865654343155,NA,NA
1851,10,10,24.0815422042964,0.838072484234071,0.69813211856752,2.33152600420316,6.4998968215,NA,NA
1852,9,9,26.2829675635367,0.851060185580537,0.521834164393088,1.51224624479127,3.61414287738424,NA,NA
1853,6,6,13.537594200492,0.889525115930801,0.580233854876875,1.49603730152848,3.79836953359535,NA,NA
1854,10,10,25.3484767205561,0.823105673603238,0.619907318813567,1.54948819850325,4.14890395601155,NA,NA
1855,8,8,24.8372689091773,0.900852039667615,0.529783690597318,1.30545380541218,2.82044570647262,NA,NA
1856,8,8,22.8542687877415,0.871188887586639,0.55276938935253,1.08155315030066,2.63712424017641,NA,NA
1857,7,7,19.3564893782357,0.898833335635424,0.597256135400608,1.55530901586121,4.06008451246154,NA,NA
1858,4,4,6.94058573010413,1,0.685072422444367,2.48245818822758,6.38270442427672,NA,NA
1859,3,3,NA,NA,0.326245240553307,1.35517050070536,3.23554388121153,NA,NA
1860,5,5,9.5472489823811,0.915224375862895,0.330364512473839,1.70905775879995,3.76537102034553,NA,NA
1861,5,5,9.85888429202445,0.951826765024,0.664421164705376,1.73995934571217,4.00320280322492,NA,NA
1862,3,3,NA,NA,0.29444936761978,1.22225175809966,2.89225786519576,NA,NA
1863,5,5,9.5472489823811,0.915224375862895,0.47741707807247,1.48742271715325,3.32554058219337,NA,NA
1864,4,4,5.71386643174276,1,0.772885344216498,1.79488487129537,3.69461071762144,NA,NA
1865,10,10,23.7673698168496,0.751783598439792,0.648098933062511,2.98049255512584,9.31875519015462,NA,NA
1866,8,8,21.0303734134882,0.820693978169142,0.66276264629319,3.23645896559037,10.5860599267681,NA,NA
1867,11,11,28.3726123983985,0.76787855747947,0.62782902796493,2.53805725320968,7.73054015041642,NA,NA
1868,8,8,17.252341090679,0.787081547691516,0.561550301036409,1.84510811478939,4.723326055588,NA,NA
1869,7,7,18.1039981778342,0.825827766716882,0.578019378518187,1.20727572787068,2.78029534404584,NA,NA
1870,3,3,NA,NA,0.226194800321494,0.923916007213119,1.89029960263175,NA,NA
1871,3,3,NA,NA,0.358344990748796,1.43929931359316,3.42000398971022,NA,NA
1872,3,3,NA,NA,0.506865717564553,1.87828542928426,4.52786376363285,NA,NA
1873,3,3,NA,NA,0.569798349100351,2.02343671806114,4.88534507946231,NA,NA
1874,10,10,29.3091156327437,0.851678563294019,0.478527624896934,3.01168160349283,9.41459193098779,NA,NA
1875,10,10,19.4186857723766,0.825197071903427,0.625675079458093,2.61271037688536,8.21045752746385,NA,NA
1876,12,12,32.9847122153715,0.816628140867578,0.548673352042627,2.58810245773327,7.07661910971934,NA,NA
1877,7,7,20.7377510158421,0.909575956580589,0.675607072083688,2.72353550098319,7.6233858052465,NA,NA
1878,8,8,23.4937658120371,0.865224798965767,0.626030397792159,1.86493414808665,5.26812335629223,NA,NA
1879,9,9,26.802554033711,0.870341498954008,0.551148801976158,2.36555491245929,6.47183560003323,NA,NA
1880,11,11,30.740233246963,0.772846007692384,0.585010205657986,2.53977813290318,7.00499809287021,NA,NA
